id	role_id	permission_id	created_at	updated_at
1	1	1	2025-05-18 23:47:47	2025-05-18 23:47:47
2	1	2	2025-05-18 23:47:47	2025-05-18 23:47:47
3	1	3	2025-05-18 23:47:47	2025-05-18 23:47:47
4	1	4	2025-05-18 23:47:47	2025-05-18 23:47:47
5	1	5	2025-05-18 23:47:47	2025-05-18 23:47:47
6	1	11	2025-05-18 23:47:47	2025-05-18 23:47:47
7	1	12	2025-05-18 23:47:47	2025-05-18 23:47:47
8	1	13	2025-05-18 23:47:47	2025-05-18 23:47:47
9	1	14	2025-05-18 23:47:47	2025-05-18 23:47:47
10	1	15	2025-05-18 23:47:47	2025-05-18 23:47:47
11	1	16	2025-05-18 23:47:47	2025-05-18 23:47:47
12	1	17	2025-05-18 23:47:47	2025-05-18 23:47:47
13	1	18	2025-05-18 23:47:47	2025-05-18 23:47:47
14	1	19	2025-05-18 23:47:47	2025-05-18 23:47:47
15	1	20	2025-05-18 23:47:47	2025-05-18 23:47:47
16	1	21	2025-05-18 23:47:47	2025-05-18 23:47:47
17	1	22	2025-05-18 23:47:47	2025-05-18 23:47:47
18	1	23	2025-05-18 23:47:47	2025-05-18 23:47:47
19	1	24	2025-05-18 23:47:47	2025-05-18 23:47:47
20	1	25	2025-05-18 23:47:47	2025-05-18 23:47:47
21	1	26	2025-05-18 23:47:47	2025-05-18 23:47:47
22	1	27	2025-05-18 23:47:47	2025-05-18 23:47:47
23	1	28	2025-05-18 23:47:47	2025-05-18 23:47:47
24	1	29	2025-05-18 23:47:47	2025-05-18 23:47:47
25	1	30	2025-05-18 23:47:47	2025-05-18 23:47:47
26	1	36	2025-05-18 23:47:47	2025-05-18 23:47:47
27	1	37	2025-05-18 23:47:47	2025-05-18 23:47:47
28	1	38	2025-05-18 23:47:47	2025-05-18 23:47:47
29	1	39	2025-05-18 23:47:47	2025-05-18 23:47:47
30	1	40	2025-05-18 23:47:47	2025-05-18 23:47:47
31	1	41	2025-05-18 23:47:47	2025-05-18 23:47:47
32	1	42	2025-05-18 23:47:47	2025-05-18 23:47:47
33	1	43	2025-05-18 23:47:47	2025-05-18 23:47:47
34	1	44	2025-05-18 23:47:47	2025-05-18 23:47:47
35	1	45	2025-05-18 23:47:47	2025-05-18 23:47:47
36	2	1	2025-05-18 23:47:47	2025-05-18 23:47:47
37	2	2	2025-05-18 23:47:47	2025-05-18 23:47:47
38	2	3	2025-05-18 23:47:47	2025-05-18 23:47:47
39	2	4	2025-05-18 23:47:47	2025-05-18 23:47:47
40	2	5	2025-05-18 23:47:47	2025-05-18 23:47:47
41	2	6	2025-05-18 23:47:47	2025-05-18 23:47:47
42	2	7	2025-05-18 23:47:47	2025-05-18 23:47:47
43	2	8	2025-05-18 23:47:47	2025-05-18 23:47:47
44	2	9	2025-05-18 23:47:47	2025-05-18 23:47:47
45	2	10	2025-05-18 23:47:47	2025-05-18 23:47:47
46	2	11	2025-05-18 23:47:47	2025-05-18 23:47:47
47	2	12	2025-05-18 23:47:47	2025-05-18 23:47:47
48	2	13	2025-05-18 23:47:47	2025-05-18 23:47:47
49	2	14	2025-05-18 23:47:47	2025-05-18 23:47:47
50	2	15	2025-05-18 23:47:47	2025-05-18 23:47:47
51	2	16	2025-05-18 23:47:47	2025-05-18 23:47:47
52	2	17	2025-05-18 23:47:47	2025-05-18 23:47:47
53	2	18	2025-05-18 23:47:47	2025-05-18 23:47:47
54	2	19	2025-05-18 23:47:47	2025-05-18 23:47:47
55	2	20	2025-05-18 23:47:47	2025-05-18 23:47:47
56	2	21	2025-05-18 23:47:47	2025-05-18 23:47:47
57	2	22	2025-05-18 23:47:47	2025-05-18 23:47:47
58	2	23	2025-05-18 23:47:47	2025-05-18 23:47:47
59	2	24	2025-05-18 23:47:47	2025-05-18 23:47:47
60	2	25	2025-05-18 23:47:47	2025-05-18 23:47:47
61	2	26	2025-05-18 23:47:47	2025-05-18 23:47:47
62	2	27	2025-05-18 23:47:47	2025-05-18 23:47:47
