id	role_id	permission_id	created_at	updated_at
96	3	41	2025-05-18 23:47:47	2025-05-18 23:47:47
97	3	42	2025-05-18 23:47:47	2025-05-18 23:47:47
98	3	43	2025-05-18 23:47:47	2025-05-18 23:47:47
99	3	44	2025-05-18 23:47:47	2025-05-18 23:47:47
100	3	45	2025-05-18 23:47:47	2025-05-18 23:47:47
101	4	16	2025-05-18 23:47:47	2025-05-18 23:47:47
102	4	17	2025-05-18 23:47:47	2025-05-18 23:47:47
103	4	18	2025-05-18 23:47:47	2025-05-18 23:47:47
104	4	19	2025-05-18 23:47:47	2025-05-18 23:47:47
105	4	20	2025-05-18 23:47:47	2025-05-18 23:47:47
106	4	31	2025-05-18 23:47:47	2025-05-18 23:47:47
107	4	32	2025-05-18 23:47:47	2025-05-18 23:47:47
108	4	33	2025-05-18 23:47:47	2025-05-18 23:47:47
109	4	34	2025-05-18 23:47:47	2025-05-18 23:47:47
110	4	35	2025-05-18 23:47:47	2025-05-18 23:47:47
111	4	36	2025-05-18 23:47:47	2025-05-18 23:47:47
112	4	37	2025-05-18 23:47:47	2025-05-18 23:47:47
113	4	38	2025-05-18 23:47:47	2025-05-18 23:47:47
114	4	39	2025-05-18 23:47:47	2025-05-18 23:47:47
115	4	40	2025-05-18 23:47:47	2025-05-18 23:47:47
116	4	41	2025-05-18 23:47:47	2025-05-18 23:47:47
117	4	42	2025-05-18 23:47:47	2025-05-18 23:47:47
118	4	43	2025-05-18 23:47:47	2025-05-18 23:47:47
119	4	44	2025-05-18 23:47:47	2025-05-18 23:47:47
120	4	45	2025-05-18 23:47:47	2025-05-18 23:47:47
121	5	21	2025-05-18 23:47:47	2025-05-18 23:47:47
122	5	22	2025-05-18 23:47:47	2025-05-18 23:47:47
123	5	23	2025-05-18 23:47:47	2025-05-18 23:47:47
124	5	24	2025-05-18 23:47:47	2025-05-18 23:47:47
125	5	25	2025-05-18 23:47:47	2025-05-18 23:47:47
126	5	31	2025-05-18 23:47:47	2025-05-18 23:47:47
127	5	32	2025-05-18 23:47:47	2025-05-18 23:47:47
128	5	33	2025-05-18 23:47:47	2025-05-18 23:47:47
129	5	34	2025-05-18 23:47:47	2025-05-18 23:47:47
130	5	35	2025-05-18 23:47:47	2025-05-18 23:47:47
131	5	36	2025-05-18 23:47:47	2025-05-18 23:47:47
132	5	37	2025-05-18 23:47:47	2025-05-18 23:47:47
133	5	38	2025-05-18 23:47:47	2025-05-18 23:47:47
134	5	39	2025-05-18 23:47:47	2025-05-18 23:47:47
135	5	40	2025-05-18 23:47:47	2025-05-18 23:47:47
136	5	41	2025-05-18 23:47:47	2025-05-18 23:47:47
137	5	42	2025-05-18 23:47:47	2025-05-18 23:47:47
138	5	43	2025-05-18 23:47:47	2025-05-18 23:47:47
139	5	44	2025-05-18 23:47:47	2025-05-18 23:47:47
140	5	45	2025-05-18 23:47:47	2025-05-18 23:47:47
